Unnamed: 0,job_link,job_skills,Cluster
0,https://www.linkedin.com/jobs/view/housekeeper-i-pt-at-jacksonville-state-university-3802280436,"Building Custodial Services, Cleaning, Janitorial Services, Materials Handling, Housekeeping, Sanitation, Waste Management, Floor Maintenance, Equipment Maintenance, Safety Protocols, Communication Skills, Attention to Detail, Physical Strength, Experience in Housekeeping",1
1,https://www.linkedin.com/jobs/view/assistant-general-manager-huntington-4131-at-ruby-tuesday-3575032747,"Customer service, Restaurant management, Food safety, Training, Supervision, Scheduling, Inventory, Cost control, Sales, Communication, Problemsolving, Leadership, Motivation, Teamwork, High School Diploma, Bachelor's Degree, ServSafe Certification, Valid Driver's License, Physical ability to perform job duties",4
2,https://www.linkedin.com/jobs/view/school-based-behavior-analyst-at-ccres-educational-and-behavioral-health-services-3739544400,"Applied Behavior Analysis (ABA), Data analysis, Behavioral assessment, Positive behavior support, Programming development, Progress monitoring, Staff training, Verbal communication, Written communication, Team collaboration, Autism, Emotional/behavioral disorders, Intellectual disabilities, BCBA certification, Masters degree, Professional liability insurance, Clearances (Act 151 Act 34 FBI Use code: 1KG6XN), TB screening, Independent contractor, 1099",5
3,https://www.linkedin.com/jobs/view/electrical-deputy-engineering-group-supervisor-at-energy-jobline-3773709557,"Electrical Engineering, Project Controls, Scheduling, Estimating, Engineering Efforts, Planning, Work Packaging, Communication Skills, Verbal Communication, Written Communication, Engineering Tools, Office Automation Tools, Industry Guides, Regulatory Guides, Codes, Standards, Electrical Engineering Design Principles, Electrical Systems, Schematics, Layouts, Engineering Drawings, Systems Calculations, Equipment Sizing, Cable Sizing, Power Systems Load Modeling, Power Systems Analysis, Revit, ETAP, Equipment Configuration Packages, Mechanical Engineering, Process Engineering, CSI Masterformat Specifications, SpecsIntact, Unified Facilities Criteria, Whole Building Design Guide",1
4,https://www.linkedin.com/jobs/view/electrical-assembly-lead-at-sanmina-3704300377,"Electrical Assembly, Point to point wiring, Stripping and crimping of wiring, Reading blueprints and SOPs, Leadership skills, Communication skills, Directing and training employees, Problem solving, Excellent attendance, 46 years of related experience, High School or GED",1
5,https://www.linkedin.com/jobs/view/senior-lead-technician-programmer-at-security-101-3785441848,"Access Control, Video Management Systems, IPbased video systems, Intrusion Alarm Systems, SQL, Databases, Genetec, Software House, Avigilon Unity, Avigilon Alta, Brivo, Milestone, SIP IP Phone Systems, Quality Control, Customer Service, Project Progress Tracking, Electronics Training, Technical School, Military Training",3
6,https://www.linkedin.com/jobs/view/program-consultant-at-methodist-family-health-3588621456,"Consultation, Supervision, InService Training, PreService Training, Youth Intake, Individual Treatment Plans, Program Development, Data Collection, Quality Control Programs, Performance Evaluations, Staff Recruitment and Selection, Emergency Consultation, Quality Improvement, Joint Commission Standards, TFM Certification, SelfMotivation, High Stress Tolerance, Fast Paced Work Environment, Minimal Supervision, Auditory Ability, Visual Ability, Olfactory Ability, Physical Stamina, Computer Literacy, Communication Skills, Reading and Writing Skills, Clinical Duties, COVID19 Vaccination, Flu Shot",1
7,https://www.linkedin.com/jobs/view/veterinary-receptionist-at-wellhaven-pet-health-3803807922,"Veterinary Receptionist, AAHAaccredited, Customer service, Communication skills, Organizational skills, Problemsolving skills, Time management skills, Ability to work independently, Ability to multitask, Ability to work in a fastpaced environment, Ability to learn new computer software systems, Ability to handle dogs cats and exotic animals, Typing 40+ wpm, Email systems, Basic MS Office products (Word Excel), High School Diploma or equivalent, 1+ years of customer service experience, 1+ years of experience working with computers, Veterinary experience, Ability to lift 25+ pounds, Ability to stand walk stoop kneel crouch and climb, Ability to work extended hours including weekends and holidays",3
8,https://www.linkedin.com/jobs/view/sr-technician-receiving-inspection-at-abbott-3799867135,"Optical Inspection Equipment Programming, MS Excel, Microsoft Word, FDA regulations, ISO 13485, Gage R&R, NCMR dispositioning, Blueprint reading, Sampling techniques, GD&T, PCB inspection, Quality Systems, Calibration, Test methods, ASQ CQT certification, Data analysis, Report writing",5
9,https://www.linkedin.com/jobs/view/experienced-hvac-service-technician-at-lane-valente-industries-3798208587,"HVAC, troubleshooting, Preventative maintenance, Inspections, Repairs, Record keeping, Parts management, Time management, Travel",5
10,https://www.linkedin.com/jobs/view/host-hostess-server-assistant-at-out-west-restaurant-group-3774244398,"Host/Server Assistant, Attention to Detail, Health Insurance, Dental Insurance, Vision Insurance, PTO, Life Insurance, Meal Compensation Benefits, Thanksgiving & Christmas Day Off, Creating Memorable First and Last Impressions, Greeting Guests, Seating Guests, Coordinating Wait and Seating, Smiling and Engaging with Guests, Food and Drink Menu Knowledge, Phone Answering and Directing Calls, Teamwork and Assisting Throughout Restaurant, Leading Lobby Experience, Safe Food Handling and Sanitation, Lifting and Moving up to 30 lbs., Working in Hot and Cold Environments, Walking Standing and Bending for Extended Periods, Responsible Beverage Service Certification, Adaptability, Problem Solving, Communication Skills, Interpersonal Skills, Ability to Follow Instructions, Understanding Policies and Procedures",1
11,https://www.linkedin.com/jobs/view/maintenance-technician-salem-va-at-greenbrier-management-3787735014,"Apartment maintenance, Basic electrical repair, Basic plumbing repair, HVAC certification (CFC Universal) preferred, Hand tools, Ladders, Landscaping equipment, Safety equipment, Fair housing, OSHA, Pool and safety standards, Communication skills, Teamwork, Positive attitude, Problemsolving skills, Ability to work independently and as part of a team, Ability to work flexible hours, Valid driver's license, Reliable transportation",1
12,https://www.linkedin.com/jobs/view/traveling-ftth-technician-at-kennard-associates-3787914368,"Fiber Optic Cable Installation, Splicing and Termination, Equipment Installation, Customer Interaction, Quality Assurance, Documentation, Safety and Compliance, Travel, High School Diploma or Equivalent, Technical Training or Certification in Fiber Optics, Previous Experience in Fiber Optic Cable Installation and FTTH Deployment, Knowledge of Splicing and Termination Techniques, Familiarity with FTTH Equipment and Hardware, Strong ProblemSolving Skills and Attention to Detail, Physical Fitness and Ability to Work in Various Environmental Conditions, Flexibility to Travel Extensively and Work on Varied Schedules",5
13,https://www.linkedin.com/jobs/view/travel-allied-health-professional-ct-technologist-at-flexcare-medical-staffing-3791820377,"CT Technologist, Allied Health Professional, Travel Nursing, Medical Staffing, Staffing Services, Healthcare Facilities, Integrity, Transparency, Medical Benefits, Dental Benefits, Vision Benefits",5
14,https://ca.linkedin.com/jobs/view/performance-analyst-material-%E2%80%93-analyste-performance-mat%C3%A9riel-mirabel-qc-at-bell-flight-3802164134,"SAP, DRMIS, Data warehousing, Data analysis, Data mining, Power BI, Excel, PowerPoint, Root cause analysis, Project management, Communication, Teamwork, Problem solving, Analytical skills, Attention to detail, Strong math skills, Bachelor's degree in operation management or industrial engineering, 3+ years of experience in a similar position, NATO Secret security clearance",4
15,https://www.linkedin.com/jobs/view/analyst-capital-markets-at-jll-3802326007,"Debt and equity offering memorandums, Financial modeling, Market research, Property tours, Term sheet negotiation, Closing and client meetings, Due diligence, Databases, Real estate documents, Financing alternatives, Client networking, Deal flow, Deal status, Market conditions, Argus, Outlook, Excel, Word, Intermediate working knowledge of Outlook Excel and Word, Bachelor's Degree in Real Estate Finance Accounting or related discipline, Selfmotivated, Team oriented, Strong time management skills, Excellent organizational interpersonal quantitative writing and communication skills, Strong research analytical and problemsolving skills, Ability to analyze qualitative and quantitative information, Ability to be an independent worker with a team player attitude",5
16,https://ca.linkedin.com/jobs/view/field-service-technician-surgical-workplaces-gta-at-getinge-3771874360,"Biomedical Engineering, Field Service, Troubleshooting, Communication, Time Management, Customer Service, Microsoft Office, Travel, Driving, Teamwork, ProblemSolving, Quota Achievement, Regulatory Compliance, Interpersonal Skills, Documentation, Equipment Maintenance, Inventory Management, Training",4
17,https://www.linkedin.com/jobs/view/laboratory-technician-at-insight-global-3798118976,"Laboratory Technician, Pharmaceutical Testing, Quality and Safety Standards, Sample Preparation, Chemical Analysis, Physical Analysis, Microbiological Analysis, Instrumental Methods, Data Analysis, Error Identification, Corrective Actions, Laboratory Equipment Maintenance, Calibration, Company Policies and Procedures, Regulatory Compliance, Clinical Validation, QC/Technical Validation, Bachelor's Degree in Science, ASCP Certification, Generalist Experience, Med Tech Experience, Med Lab Scientist Experience, Fastpaced Environment, Multitasking, Learning Agility, Communication Skills, Attention to Detail, Accuracy",1
18,https://www.linkedin.com/jobs/view/senior-consultant-learning-talent-development-at-nuvance-health-3778638490,"Program Management, Project Management, Organizational Learning, Development, Employee and Managerial Learning, Organizational Development, Education, Needs Analysis, Learning Management System, Performance Indicators, Metrics, Consulting, Advisory Services, Delivery Services, Regulatory Training, New Hire Orientation, Leadership Products, Collaborating Learning, Coaching, Behavioral Assessments, Finger Dexterity, Physical Effort, Pleasant Working Conditions",5
19,https://www.linkedin.com/jobs/view/assistant-general-manager-at-the-hill-3803906356,"Hiring, Training, Retaining, Developing Team, Financial Analysis, Action Plans, Budget Management, Sales Management, Guest Experience, Communication Skills, Relationship Building, Adaptability, Flexibility, Enthusiasm, SelfMotivation, Teaching Skills, Coaching Skills, Decision Making, Problem Solving, Strategic Thinking, Data Analysis, Inspiration, Teamwork, Leadership, Professionalism, Attendance, Physical Stamina, Multitasking, Customer Service, Time Management, Conflict Resolution, Diversity, Inclusion",4
20,https://www.linkedin.com/jobs/view/construction-supervisor-assistant-in-rochester-ny-usa-at-energy-jobline-3791046095,"Construction, General knowledge of construction industry, Reliable transportation, PM21",5
21,https://www.linkedin.com/jobs/view/internal-auditor-at-university-of-utah-3803767644,"Accounting, Auditing, GAAP, Tax laws, Professional audit standards, Financial operations, Compliance, Risk management, Controls, Written reporting, Data analysis, Communication, Collaboration, Problemsolving, Critical thinking, Attention to detail, Time management, Organizational skills, Bachelor's degree, Master's degree, CPA, CIA, CFE, CISA, CHIAP, Healthcare experience, Higher education experience",4
22,https://www.linkedin.com/jobs/view/insurance-analyst-at-city-of-boise-3789382906,"Excel, Risk Management, Property Management, Insurance Claims, Liability Claims, Workers' Compensation Claims, Property Claims, Data Analysis, Safety, Program Guides, Form Templates, Financial Accounting, Microsoft Access, Microsoft Power Platform, Microsoft Dynamics 365, Database Management Systems, Process Mapping, Criminal Background Check, Reference Checks, Driving Record Check, CJIS Background Check, Sensory Ability, Stairs, Basic Inspection Activities",5
23,https://www.linkedin.com/jobs/view/audit-manager-at-keiter-cpas-3755476892,"Accounting principles, Auditing standards, Financial statements, Internal controls, Time budgets, Audit risks, Budget realization, Virginia Driver's License, CPA license, Staff management, Performance reviews, Public accounting, Management letters, Notes, Schedules",5
24,https://www.linkedin.com/jobs/view/accounting-manager-at-high-country-private-equity-search-3733960939,"Accounting, Financial Reporting, Budgeting, Auditing, Taxation, Cash Management, Treasury Management, Financial Analysis, Investment Accounting, Partnerships, LLCs, LLLPs, Hedge Funds, Private Equity, Real Estate, Brokerage Accounting, Cash Flow Management, Microsoft Office Suite, Accounting Software, Financial Modeling, Budgeting Software, Data Analysis Software, Strong Analytical Skills, Attention to Detail, Written and Verbal Communication Skills, Problem Solving Skills, Ability to Work in a Team Environment, Ability to Work Independently, Ability to Meet Deadlines, Ability to Handle Confidential Information",5
25,https://www.linkedin.com/jobs/view/electronic-technician-at-uec-advanced-electronics-3781185783,"Test and Alignment, Quality Processes, Product Design, Circuit Troubleshooting, Test Specifications, Test Procedures, Assembly Testing, System Testing, Rework, Technical Reports, Test Equipment Setup, Demonstration Assistance, Technical Issue Resolution, Electronics Degree, 4+ Years Experience, Commitment to Excellence, Written and Oral Communication, Training Abilities, Organizational Skills, ProblemSolving, Analytical Skills, Priority Management, Workflow Management, Versatility, Flexibility, RF and Microwave Theory",5
26,https://www.linkedin.com/jobs/view/part-time-sales-associate-calvin-klein-at-calvin-klein-3331580456,"Customer service, Suggestive selling, UPT, Conversion, Brand loyalty, Processing, Replenishment, Cashiering, Promotions, Visual merchandising, Backstock organization, Theft prevention, Communication, Time management, Walking, Standing, Bending, Reaching, Squatting, Lifting",3
27,https://www.linkedin.com/jobs/view/lead-sales-associate-ft-at-dollar-general-3683460063,"Customer service, Operating cash register, Stocking shelves, Cleaning, Knowledge of safety policies, Ability to read planograms, Knowledge of cash handling, High school diploma, Six months of supervisory experience, Ability to drive, Frequent walking and standing, Frequent bending and stooping, Frequent lifting of up to 40 pounds, Occasional climbing using step ladder, Fastpaced environment, Moderate noise level, Occasional exposure to outside weather conditions, Occasional driving",3
28,https://www.linkedin.com/jobs/view/building-automation-technician-at-jll-3781962404,"Building Automation Systems (BAS), Energy Conservation, Troubleshooting, Maintenance, System Optimization, Site Visits, Data Gathering, Control Strategies, Commissioning, ReCommissioning, Energy Efficiency, Energy Savings, Economic Justification, Programming, Installing, Repairing, Automation Systems, Electrical Power Calculations, Variable Speed/Frequency Drives, Energy Conservation Techniques, HVAC/Chiller Plant Energy Consumption, Lifting, Working from Heights, Climbing, Bending, Lifting, Kneeling, Stooping, Adverse Conditions, Driving, Ladder Climbing, Tool Bag Carrying, PPCL Programming, Siemens Experience, Electrical Systems, Refrigeration, HVAC, Plumbing",5
29,https://www.linkedin.com/jobs/view/automotive-technician-at-monro-inc-3684276076,"Automotive repair, Vehicle maintenance, Brakes, Suspension, Tire installation, Scheduled maintenance, Automotive inspections, Test driving, Leadership, High school diploma or GED, 2+ years automotive technician experience, Valid driver's license, Ability to work with hands overhead and lift 50 lbs, Automotive Technician State Inspector's license, ASE automotive certification (A1A8), Automotive technical school certificate/degree, Health insurance, Dental insurance, 401K retirement plan with company match, Paid vacation, Paid holidays, Career development, Employee discounts, Onthejob training, Companysponsored certifications, Course curriculum in Monro University, Equal opportunity employer",5
