,job_link,job_summary
0,https://www.linkedin.com/jobs/view/restaurant-manager-at-rock-n-roll-sushi-3805551344,"Rock N Roll Sushi is hiring a Restaurant Manager!
As our Restaurant Manager, you’ll never be bored. You’ll be responsible for making sure our restaurant runs smoothly.
We Offer
Competitive compensation
Insurance benefits
Bonus opportunities
A great work atmosphere
Duties/Responsibilities
Ensuring that our restaurant is fully and appropriately staffed at all times
Maintaining operational excellence so our restaurant is running efficiently and effectively
Ensuring that all laws, regulations, and guidelines are being followed
Creating a restaurant atmosphere that both patrons and employees enjoy
Various other tasks as needed
Requirements
Previous experience as a restaurant manager
Extensive food and beverage knowledge, and the ability to remember and recall ingredients and dishes to inform customers and wait staff
Great leadership skills
Familiarity with restaurant management software
Demonstrated ability to coordinate a staff
Show more
Show less"
1,https://www.linkedin.com/jobs/view/med-surg-registered-nurse-rn-at-touchette-regional-hospital-3732389852,"Schedule
: PRN is required minimum 12 hours per period.
Job Summary
The Registered Nurse (RN) is responsible for managing the individualized patient care by promoting and restoring patients' health through the nursing process; collaborating with physicians and multidisciplinary team members; providing physical and psychological support to patients, friends, and families; and supervising assigned team members.
Functions And Duties
Conducts an individualized patient assessment, prioritizing the data collection based on the patient’s immediate condition or needs within timeframe specified by client facility’s policies, procedures or protocols.
Conducts ongoing assessments as determined by patient’s condition and/or the client facility’s policies, procedures or protocols and reprioritizes care accordingly.
Develops plan of care that is individualized for the patient reflecting collaboration with other members of the healthcare team.
Performs appropriate treatments as ordered by physician in an accurate and timely manner.
Performs therapeutic nursing interventions as established by individualized plan of care for the patient and his/her family.
Delivers care with appropriate age and cultural competence to specific patient populations according to individualized needs.
Provides individualized patient/family education customized to the patient and his/her family.
Documents patient assessment findings, physical/psychosocial responses to nursing intervention and progress towards problem resolution.
Initiates emergency resuscitative measures according to adult resuscitation and advanced life support protocols.
Maintains confidentiality in matters related to patient, family and client facility staff.
Provides care in a non-judgmental, non-discriminatory manner that is sensitive to the patient’s and family’s diversity, preserving their autonomy, dignity and rights.
Reports patient condition to appropriate personnel during each shift.
Maintains current competency in nursing specialty by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies.
Performs all other duties as assigned.
Minimum Qualifications
Graduate of an accredited school of nursing required.
No experience required.
Current IL RN licensure in good standing in the state of practice, and all other states where license is held.
BLS certification required.
ACLS certification obtained within 6 months of hire is required.
Physical Demands
Constant standing and walking.
Frequent use of hearing and speech to share information through oral communication.
Frequent use of hearing to distinguish body sounds and/or hear alarms, malfunctioning machinery, etc.
Frequent lifting/carrying and pushing/pulling objects weighing 0-25 lbs.
Frequent reaching, gripping, and keyboard use/data entry.
Frequent use of vision for distances near (20 inches or less) and far (20 feet or more) and to identify and distinguish colors.
Occasional bending, stooping, crawling, kneeling, sitting, squatting and repetitive foot/leg and hand/arm movements.
Occasional use of vision to judge distances and spatial relationships.
Occasional lifting/carrying and pushing/pulling objects weighing 25-50 lbs.
Occasional lifting/moving patients.
Occasional use of smell to detect/recognize odors.
Work Environment
This job operates in a professional office environment. This role routinely uses standard office equipment such as laptop computers, printers, copiers, and smartphones. Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.
Show more
Show less"
2,https://www.linkedin.com/jobs/view/registered-nurse-cath-lab-at-stonesprings-hospital-center-3799543261,"Description
Introduction
Are you looking for a place to deliver excellent care patients deserve? At StoneSprings Hospital Center we support our colleagues in their positions. Join our Team as a(an) Registered Nurse Cath Lab and access programs to assist with every stage of your career.
Benefits
StoneSprings Hospital Center, offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include:
Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as free telemedicine services and free AirMed medical transportation.
Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more.
Free counseling services and resources for emotional, physical and financial wellbeing
401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service)
Employee Stock Purchase Plan with 10% off HCA Healthcare stock
Family support through fertility and family building benefits with Progyny and adoption assistance.
Referral services for child, elder and pet care, home and auto repair, event planning and more
Consumer discounts through Abenity and Consumer Discounts
Retirement readiness, rollover assistance services and preferred banking partnerships
Education assistance (tuition, student loan, certification support, dependent scholarships)
Colleague recognition program
Time Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence)
Employee Health Assistance Fund that offers free employee-only coverage to full-time and part-time colleagues based on income.
Learn More About Employee Benefits
Note: Eligibility for benefits may vary by location.
Are you a continuous learner? With more than 94,000 nurses throughout HCA Healthcare, we are one of the largest employers of nurses in the United States. Education is key to excellence! As a majority owner of Galen College of Nursing, which joins Research College of Nursing and Mercy School of Nursing as educational facilities within the HCA Healthcare family, we make it easier and more affordable to gain certifications and job skills. Apply today for our Registered Nurse Cath Lab opening and continue to learn!
As a Registered Nurse (RN) in the Cardiac Catheterization Lab, we see about Cath lab and Intentional Radiology patients. We provide the highest level of care from the onset of symptoms through diagnosis and treatment. Our team provides care for patients providing information, assisting with complications, administering medication, guidance and hands-on care.
As a member of our team your will be responsible for assessing, planning, implementing, evaluating and documenting all aspects of patient care.
You will work closely with all health care providers to facilitate and coordinate efficient, effective, quality health care including patient discharge.
Our team interprets patient information and makes decisions about necessary actions.
As a member of our team, you will coordinate a patient’s discharge planning needs with members of the healthcare team.
Advanced Cardiac Life Spt must be obtained within 90 days of employment start date
Basic Cardiac Life Support must be obtained within 30 days of employment start date
Registered Nurse
Registered Nurse Diploma
StoneSprings Hospital Center
has provided quality healthcare services since 2015. We give patient's access to trained physicians and advanced technology. Our
120+ bed hospital
is one of the region's leading acute care facilities in Loudoun County. Our medical services includes a full-service 24/7 Emergency Department, orthopedics, advanced heart and vascular care, extensive diagnostic imaging and interventional radiology capabilities, minimally invasive robotic surgery and maternal/child health.
At StoneSprings Hospital Center, our care like family culture extends to our patients, our people and our community. We are committed to each other because when we join together, our patients are cared for in the safest and most compassionate way.
HCA Healthcare has been recognized as one of the World’s Most Ethical Companies® by the Ethisphere Institute more than ten times. In recent years, HCA Healthcare spent an estimated $3.7 billion in cost for the delivery of charitable care, uninsured discounts, and other uncompensated expenses.
""Good people beget good people.""- Dr. Thomas Frist, Sr.
HCA Healthcare Co-Founder
If growth and continued learning is important to you, we encourage you to apply for our Registered Nurse Cath Lab opening. Our team will promptly review your application. Highly qualified candidates will be contacted for interviews.
Unlock the possibilities apply today!
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Show more
Show less"
3,https://uk.linkedin.com/jobs/view/commercial-account-executive-at-the-recruit-lab-3805254225,"Commercial account executive
Sheffield
Full time/ permanent
£30k-40k + OTE (depending on experience).
An exciting opportunity has arisen for a driven and ambitious Commercial Account Executive to join a well-established insurance company based in Sheffield.
We are looking for someone with a ‘little black book’ that can really drive the new business side of this branch. Progression in inevitable!!!
MUST have at least 4 years’ experience in a Commercial Account Executive or Business Development environment. We will also consider Broker experience for the right candidate.
Key Responsibilities:
Provide quotations for new business and assist with the growth plans of the Sheffield Branch.
Deal with clients over the phone, in person and via e-mail to ensure that client retention and sales targets are maximised.
Ensure that all product information provided is clear, fair, and not misleading, allowing the customer to make an informed decision.
Ensure that telephone calls are answered & dealt with promptly & efficiently.
Maintain thorough and accurate records of all customer interactions.
Identify complaints and refer to the necessary complaint handler.
Deal with equerries by email, telephone and in person ensuring that all SLAs are adhered to.
The ideal candidate:
Good communication skills
Charismatic
Good ability to build and maintain relationships.
IT literate
Manage time effectively; with the ability to work under pressure
Organisational skills
Strong negotiation and interpersonal skills
Articulate & Numerate
Qualifications & Experience
Must have 4 years minimum experience working within a commercial sale broking or underwriting environment.
GCSE or equivalent qualifications preferred.
Certificate in insurance preferred but not required.
What’s on offer:
Casual dress
Company pension
20 days holiday + Birthday + bank holidays
Monday to Friday 9-5
Full-time - permanent
Bonus scheme
Career progression
(Benefits are currently being evaluated and will be added to very soon due to the expansion of the company)
Very exciting times ahead for this growing company, so why not get on board with the team now!
At LAB, we are committed to equal opportunities for everyone. We embrace diversity and believe that a balanced, inclusive workforce is crucial to our business. We do not tolerate discrimination, harassment or bullying towards any candidates or employees. We are proud to be an equal opportunities employer. Due to the high volume of applications, we may receive, it is not always possible to respond to unsuccessful applicants. Therefore, if we have not responded to your application, please assume that on this occasion your application has not been successful at this time, and we wish you the best of luck with your search
Show more
Show less"
4,https://www.linkedin.com/jobs/view/store-manager-at-stop-shop-3782135496,"Address:
USA-CT-Newington-44 Fenn Road
Store Code:
SS - Human Resources Brands (2765625)
At Stop & Shop, we are dedicated to creating and maintaining a culture where the diverse backgrounds and experiences of our associates are celebrated, and all associates feel they belong and thrive. We work as one team to break down barriers, put the customer first and show that we care for our customers, communities and each other. At Stop & Shop, we're here to feed all of life's moments, and we've made a promise to our customers to help them make the small wins possible every day.
Primary Responsibilities
Create a culture of best-in-class customer service to ensure exceptional service level interaction
Promote a positive environment which is sensitive and responsive to both our internal and external customers
Responsible for compliance with local, state, and federal laws as well as internal audits
Expected to act as coach and facilitator in delegating and empowering his/her team to manage and be held accountable for daily operations of their departments
Accountable for providing strong, positive, and pro-active leadership to his/her team while providing direction, feedback, and holding them accountable for performance and results
Responsible for total store operations
Other responsibilities include Proven track record of people development, Diversity, and Labor Relations; Customer / Legendary Service; Profitability; Merchandising and Sales; Payroll and Productivity; Community Relations; Administration; Strategic Business Planning; and Sanitation/Safety
Essential Skills:
Knowledge of all departments within store
Knowledge of safe food handling
Excellent communication, verbal, and written skills
Exceptional interpersonal, planning and organizing, and leadership skills
Highly motivated, results-oriented, and a self-starter
Ability to influence and communicate cross functionally
Demonstrated leadership and management skills
Exceptional analytical and strategic planning skills with a strong attention to detail
High level of customer service skills
Effective organizational, time management and delegation skills
Stop & Shop is an equal opportunity employer. We comply with all applicable federal, state and local laws. Qualified applicants are considered without regard to sex, race, color, ancestry, national origin, citizenship status, religion, age, marital status (including civil unions), military service, veteran status, pregnancy (including childbirth and related medical conditions), genetic information, sexual orientation, gender identity, legally recognized disability, domestic violence victim status or any other characteristic protected by law.
Job Requisition: 355474_external_USA-CT-Newington
Show more
Show less"
5,https://www.linkedin.com/jobs/view/restaurant-team-leader-3582-highway-114-ft-worth-tx-unit-%231119-at-whataburger-3671804517,"Description
Our
Restaurant Team/Shift Leaders
have a dual role - you’ll serve as both a restaurant leader and a team member. As a leader, you’ll work closely with the Restaurant Manager ensuring all operating procedures are followed. You’ll also assist with scheduling, training and supervising Team Members to ensure each customer enjoys a hot, freshly-prepared product using the highest quality ingredients served in a comfortable, clean, friendly environment.
What's In It For You
Competitive Weekly Pay
$16.25 - $16.50 / hour
Schedule Flexibility – Day/Evening/Overnight Shifts
Discounted Meals
Opportunities for Career Development and Growth
Whataburger Family Foundation and Scholarship Program
Medical, Dental and Vision Plans
401K Savings Plans
Whatagames (Ask us about this!)
Our people make the difference at Whataburger. We take pride in our work, take care of each other and love serving our customers. Each and every day you’ll be learning skills that will serve you well no matter where your career journey leads you.
Required Qualifications
QUALIFICATIONS:
Must be at least 18 years of age
High school diploma/GED or equivalent work experience
6 months’ experience in a retail setting
Driving is essential for this position so a valid driver’s license with liability insurance, a driving record adhering to Whataburger standards and a satisfactory background check is required
Solid communication skills and the ability to build and maintain an effective working relationship with management and co-workers
Demonstrated ability to work in a team environment with strong leadership skills
Food Safety Certification (may vary based on city, county and state requirements)
Food Handler’s Certification
Requirements
Must be able to lift up to 50 lbs.
Must be able to stand during entire shift
Must be able to reach, bend, stoop, lift, shake, stir, pour, carry, and push
Must be able to read (orders on tickets, menu board, receipts, etc.)
Frequent contact/immersion of hands in water, cleaning and sanitation solutions, meat products, poultry products, seafood, and produce items
Frequent washing of hands
Must be able to use computers, telephones, and office equipment
This Job Posting does not contain an exhaustive list of all roles, activities, requirements, efforts, or working conditions associated with the position. This description is intended to be an accurate reflection of the current position. Whataburger reserves the right to revise the position or to require that other or different activities be performed when circumstances change (e.g., emergencies, changes in personnel or workload, rush jobs, technological developments or other operational need).
Whataburger is more than a burger chain. It’s a place that feels like home to more than 43,000 employees who we call Family Members and millions of customers. We take PRIDE in our work. We CARE for each other. And absolutely LOVE serving our customers.
Our opportunities are limitless if you bring the drive and a hunger for more. We’ll give you the tools and resources you need to reach your full potential. Your career at Whataburger will be what you make of it.
Whataburger is committed to providing equal employment opportunities to all employees and applicants without regard to race, color, religion, sex, sexual orientation, national origin, genetic information, disability, veteran status, age, or other condition or status protected by law. Whataburger participates in the federal E-Verify Program. For more information go to www.dhs.gov/E-Verify. E-Verify is a registered trademark of the U.S. Department of Homeland Security.
Publish Date
01-Jan-2024
Requisition ID
00017145/2024-01-01
Show more
Show less"
6,https://www.linkedin.com/jobs/view/hair-stylist-meadow-brook-center-at-jobs-for-humanity-3786387856,"Company Description
Jobs for Humanity is partnering with Great Clips to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is located.
Company Name: Great Clips
Job Description
Join our locally owned salon and be a part of something great! Whether you're just starting out or have years of experience, we have amazing opportunities waiting for you.
We are excited to announce the opening of our new salon in Coweta, Oklahoma, and we are looking for exceptional stylists to join our team. At our salon, we offer flexible schedules (full-time and part-time), a supportive and enjoyable work environment, opportunities for growth and development, consistent pay, and paid time off. We value our stylists and believe that when they are treated well, they can provide the best customer experience. Apply now and become a part of our team!
What We Offer:
A steady flow of customers - no need to bring your own clientele
Guaranteed hourly wages and tips
Flexible scheduling to accommodate your needs
Opportunities for professional development and ongoing training
Potential for career advancement as a salon manager, trainer, or part of our artistic design team
The chance to make a positive impact in your community
Recognition for your hard work and achievements
Additional benefits may vary depending on the salon location.
Qualifications:
Hold a valid Cosmetology and/or Barber License (licensing requirements may vary by state/province)
Passion for building genuine connections with customers and providing great haircuts
Desire to deliver a consistent Great Clips® brand experience (don't worry, we provide training)
Ability to work collaboratively with teammates and foster a positive salon atmosphere
Put your passion and skills to use in a rewarding position with our Great Clips® salon team. Join us today!
Please let us know if you are interested in applying or have any questions. We look forward to hearing from you!
Best regards,
Your Name
Show more
Show less"
7,https://uk.linkedin.com/jobs/view/concession-store-manager-selfridges-at-linda-farrow-3796128638,"An exciting opportunity has arisen for a Concession
Manager
to join our retail team here at L
inda Farrow
. We are currently seeking a full-time candidate for our London Selfridges Concession
Our Business
Established in 1970, the Linda Farrow brand of luxury eyewear rose quickly to acclaim. Originally a fashion designer herself, Linda Farrow was one of the first to treat sunglasses as fashion, her finger always on the pulse of the times. A tireless experimenter, Farrow pioneered many of the shapes and styles that remain relevant today.
After a twenty-year hiatus, the brand was revived in 2003 by Farrow’s son Simon following the discovery of a vast archive of vintage sunglasses in the family’s London warehouse. Today, operating under the original Linda Farrow name, the brand is renowned for collaborating with some of the world’s most acclaimed designers, constantly bringing a new perspective to the brand.
About The Role
Continually drive to achieve and exceed sales plan and KPIs
Recruit, train and continually develop the team: living the Linda Farrow culture and bringing it to life as an example to your team.
Continually identify and proactively seek sales, brand opportunities and traffic driving opportunities
Drive conversion within your store by offering best in class luxury service and product knowledge throughout the entire customer journey, from first purchase through to aftersales.
Strategically manage your client base. Drive acquisition of new clients and retain clients through an engaging, personable brand experience
Accountable for your stores P&L, manage wages and controllable costs to deliver a healthy contribution
Manage and accountable for inventory
Manage and accountable for all operating guidelines being executed; e.g. cash controls/security
Make commercial suggestions to our product team at HQ to improve your stock package and deliver feedback to design team
Regularly review your stores for commercial opportunities and take action accordingly.
Ensure your business and team are always presented and maintained in line with brand guidelines
Schedule staffing to ensure boutiques are adequately covered within wage budget , providing hours to HR monthly for Payroll.
Encourage an open, honest and positive team environment. Proactively manage any performance issues that arise in your location and escalate/feedback where necessary to Manager.
About You
Driven by results
Puts needs of business and client first
A leader, inspirational, motivational and at ease with coaching others
You will have a deep understanding of the luxury world and experience with HNWI, used to working with an international client base. You’ll have a client book of your own and understand the world of clienteling
A natural networker, you’ll know key individuals, stylists, personal shoppers, clients and industry profiles within your market and actively seek to expand this
You’re an entrepreneur, self-starter that thinks outside the box
A confident communicator, negotiator and seasoned multi-tasker
You are fun, social, passionate about people, open honest and transparent in and outside of work
Our Benefits
2 free pairs of sunglasses and 2 pairs of opticals per year
Employee discounts
Pension scheme
Life assurance Scheme
Commission and bonus paid on results
Show more
Show less"
8,https://www.linkedin.com/jobs/view/material-handler-at-intelliswift-software-3789502416,"Job Details:
Job Title : Quality Liaison (5999/5998)
Job Duration:
6 months with possible extension
Job Location : Austin, TX
Shift Timings: 7 hour days for 6 days a week (Mon- Sat) 6am-1pm /(Mon- Sat) 3pm - 10pm
Job Description:
Job description:
• Inspection: to be inspecting containers from 6 foam part numbers during all shift, if there is massive fall out the attention would be directed to the part number with higher rejection percentage.
• Rework: all rejected pieces are either scrap or rework, when the parts can be saved, a rework would have to be done and pieces will be brought back to production line
• Reporting: daily registration of fallout from each part number in handwritten and excel formats (defect, traceability, cavity, zone, stamp, etc..)
• interact/negotiate with staff (production, quality, warehouse, MRB) when needed
• Report in daily basis all findings to the team, presentation with pictures and traceability information
• Shift pass out: communicate daily highlights to the next shift in person or logbook
• Samples: Coordinate samples built as needed
• Sort coordination: Evaluate when a sort is needed and activate it
• Fast response: Flexibility to attend urgent situations in case of an emergency.
Required Skills
Exceptional communication and client service skills.
2+ years’ experience in quality position or similar role
2+ years of experience in material handling or inventory control.
Strong Excel experience
Required Education
High School or GED equivalent
Show more
Show less"
9,https://www.linkedin.com/jobs/view/restaurant-team-leader-2859-n-germantown-pkwy-germantown-tn-unit-%231300-at-whataburger-3650208124,"Our
Restaurant Team/Shift Leaders
have a dual role - you’ll serve as both a restaurant leader and a team member. As a leader, you’ll work closely with the Restaurant Manager ensuring all operating procedures are followed. You’ll also assist with scheduling, training and supervising Team Members to ensure each customer enjoys a hot, freshly-prepared product using the highest quality ingredients served in a comfortable, clean, friendly environment.
What's In It For You
Competitive Weekly Pay
Schedule Flexibility – Day/Evening/Overnight Shifts
Discounted Meals
Opportunities for Career Development and Growth
Whataburger Family Foundation and Scholarship Program
Medical, Dental and Vision Plans
401K Savings Plans
Whatagames (Ask us about this!)
Our people make the difference at Whataburger. We take pride in our work, take care of each other and love serving our customers. Each and every day you’ll be learning skills that will serve you well no matter where your career journey leads you.
Work Locations
2859 N GERMANTOWN PKWY
Qualifications
Must be at least 18 years of age
High school diploma/GED or equivalent work experience
6 months’ experience in a retail setting
Driving is essential for this position so a valid driver’s license with liability insurance, a driving record adhering to Whataburger standards and a satisfactory background check is required
Solid communication skills and the ability to build and maintain an effective working relationship with management and co-workers
Demonstrated ability to work in a team environment with strong leadership skills
Food Safety Certification (may vary based on city, county and state requirements)
Food Handler’s Certification
Requirements
Must be able to lift up to 50 lbs.
Must be able to stand during entire shift
Must be able to reach, bend, stoop, lift, shake, stir, pour, carry, and push
Must be able to read (orders on tickets, menu board, receipts, etc.)
Frequent contact/immersion of hands in water, cleaning and sanitation solutions, meat products, poultry products, seafood, and produce items
Frequent washing of hands
Must be able to use computers, telephones, and office equipment
This Job Posting does not contain an exhaustive list of all roles, activities, requirements, efforts, or working conditions associated with the position. This description is intended to be an accurate reflection of the current position. Whataburger reserves the right to revise the position or to require that other or different activities be performed when circumstances change (e.g., emergencies, changes in personnel or workload, rush jobs, technological developments or other operational need).
Whataburger is more than a burger chain. It’s a place that feels like home to more than 43,000 employees who we call Family Members and millions of customers. We take PRIDE in our work. We CARE for each other. And absolutely LOVE serving our customers.
Our opportunities are limitless if you bring the drive and a hunger for more. We’ll give you the tools and resources you need to reach your full potential. Your career at Whataburger will be what you make of it.
Whataburger is committed to providing equal employment opportunities to all employees and applicants without regard to race, color, religion, sex, sexual orientation, national origin, genetic information, disability, veteran status, age, or other condition or status protected by law. Whataburger participates in the federal E-Verify Program. For more information go to www.dhs.gov/E-Verify. E-Verify is a registered trademark of the U.S. Department of Homeland Security.
Show more
Show less"
